                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.4523,                 1.2553,                0.79608,                0.75827,                0.43367,                 0.4852,                0.24353,                 1.5976,                 1.6385,                0.96711,             0.00071962,             0.00071962,             0.00071962
                    123,                 1.5523,                 1.4422,                0.86544,                0.80434,                0.42271,                0.48254,                0.22467,                 1.6381,                 1.5298,                0.97171,             0.00071561,             0.00071561,             0.00071561
                    124,                 1.4686,                 1.2367,                  0.807,                0.81574,                0.42302,                0.49712,                0.22967,                 1.6345,                   1.62,                0.97032,              0.0007116,              0.0007116,              0.0007116
                    125,                 1.5232,                  1.394,                0.82774,                0.81428,                0.41716,                0.48848,                0.21943,                 1.6452,                 1.5337,                0.97311,             0.00070757,             0.00070757,             0.00070757
                    126,                 1.4499,                 1.2721,                0.78075,                0.73101,                0.42035,                0.47775,                0.22713,                 1.6349,                 1.5595,                 0.9952,             0.00070353,             0.00070353,             0.00070353
                    127,                 1.4467,                 1.3538,                0.78885,                0.77031,                0.39798,                0.46766,                0.22391,                 1.6736,                 1.7277,                 1.0054,             0.00069948,             0.00069948,             0.00069948
                    128,                 1.4432,                 1.6823,                0.77178,                0.74075,                0.41406,                0.45693,                0.21028,                 1.6409,                 1.5228,                0.99766,             0.00069541,             0.00069541,             0.00069541
                    129,                 1.5342,                 1.1811,                0.82572,                0.79138,                0.40064,                0.46341,                0.20503,                 1.6588,                 1.5425,                 1.0041,             0.00069134,             0.00069134,             0.00069134
                    130,                 1.3816,                  1.157,                0.74292,                0.78289,                0.40597,                0.45209,                   0.19,                 1.7429,                 1.6239,                 1.0193,             0.00068726,             0.00068726,             0.00068726
                    131,                 1.5425,                 1.3228,                0.82192,                0.79939,                0.41076,                0.46192,                0.20077,                 1.6654,                 1.6507,                0.99823,             0.00068316,             0.00068316,             0.00068316
                    132,                 1.5362,                 1.2527,                0.79639,                0.78314,                0.41365,                 0.4821,                 0.2209,                  1.649,                 1.5859,                0.98804,             0.00067906,             0.00067906,             0.00067906
                    133,                 1.5086,                  1.271,                0.79792,                0.74394,                0.41396,                0.48002,                0.22377,                 1.7096,                 1.5315,                 1.0036,             0.00067495,             0.00067495,             0.00067495
                    134,                 1.4599,                 1.1668,                0.76761,                0.77556,                0.40686,                0.47909,                0.22093,                 1.6772,                 1.4988,                0.99134,             0.00067083,             0.00067083,             0.00067083
                    135,                 1.3442,                 1.5055,                0.74769,                0.75397,                0.42124,                0.47256,                0.20777,                 1.6395,                 1.5299,                0.98318,             0.00066671,             0.00066671,             0.00066671
                    136,                 1.5335,                 1.2508,                0.78881,                0.74241,                0.43101,                0.47283,                0.21392,                 1.5938,                 1.5448,                0.96496,             0.00066257,             0.00066257,             0.00066257
                    137,                 1.5288,                 1.3944,                0.84711,                0.77901,                0.42248,                0.48188,                0.22409,                 1.5777,                 1.5112,                0.97103,             0.00065843,             0.00065843,             0.00065843
                    138,                 1.4639,                 1.1246,                0.78954,                0.78287,                0.43029,                0.48627,                0.22427,                 1.5995,                 1.4865,                0.98183,             0.00065429,             0.00065429,             0.00065429
                    139,                 1.3673,                 1.0726,                0.74449,                0.78393,                 0.4017,                0.45487,                0.19296,                 1.7008,                 1.6073,                 1.0059,             0.00065013,             0.00065013,             0.00065013
                    140,                 1.5346,                 1.3853,                0.81604,                0.79707,                0.39744,                0.44975,                0.17753,                 1.7086,                 1.5904,                0.99927,             0.00064597,             0.00064597,             0.00064597
                    141,                 1.5152,                 1.2753,                 0.8171,                0.75882,                0.41905,                0.46483,                0.20858,                 1.6264,                 1.5325,                 1.0109,             0.00064181,             0.00064181,             0.00064181
                    142,                 1.4574,                 1.1969,                0.79044,                 0.7785,                0.42131,                0.47187,                0.22088,                 1.6254,                 1.6267,                 1.0043,             0.00063764,             0.00063764,             0.00063764
                    143,                 1.5488,                 1.2614,                0.83252,                0.79999,                0.41129,                0.46787,                0.21046,                 1.6524,                 1.7266,                 1.0071,             0.00063347,             0.00063347,             0.00063347
                    144,                 1.6512,                 1.4486,                0.88969,                 0.7872,                0.39417,                0.45363,                0.18627,                 1.7615,                 1.6368,                 1.0124,              0.0006293,              0.0006293,              0.0006293
                    145,                 1.4647,                 1.1784,                0.81328,                0.74887,                0.40193,                 0.4487,                0.17874,                 1.7192,                 1.5399,                0.99059,             0.00062512,             0.00062512,             0.00062512
                    146,                 1.5041,                 1.2046,                0.83043,                0.78729,                0.40424,                0.48083,                0.21123,                 1.6815,                  1.591,                0.99633,             0.00062093,             0.00062093,             0.00062093
